Election,Department,Party,Category,Votes
Primary 2025,Atlantida,LIBRE,Valid,25593
Primary 2025,Atlantida,LIBRE,Blank,4983
Primary 2025,Atlantida,LIBRE,Null,1996
Primary 2025,Atlantida,National Party,Valid,32533
Primary 2025,Atlantida,National Party,Blank,2142
Primary 2025,Atlantida,National Party,Null,1848
Primary 2025,Atlantida,Liberal Party,Valid,36404
Primary 2025,Atlantida,Liberal Party,Blank,1788
Primary 2025,Atlantida,Liberal Party,Null,1356
Primary 2025,Colon,LIBRE,Valid,32300
Primary 2025,Colon,LIBRE,Blank,7482
Primary 2025,Colon,LIBRE,Null,2776
Primary 2025,Colon,National Party,Valid,26784
Primary 2025,Colon,National Party,Blank,2167
Primary 2025,Colon,National Party,Null,1732
Primary 2025,Colon,Liberal Party,Valid,14315
Primary 2025,Colon,Liberal Party,Blank,1260
Primary 2025,Colon,Liberal Party,Null,691
Primary 2025,Comayagua,LIBRE,Valid,34131
Primary 2025,Comayagua,LIBRE,Blank,6835
Primary 2025,Comayagua,LIBRE,Null,2459
Primary 2025,Comayagua,National Party,Valid,44808
Primary 2025,Comayagua,National Party,Blank,3281
Primary 2025,Comayagua,National Party,Null,2669
Primary 2025,Comayagua,Liberal Party,Valid,38988
Primary 2025,Comayagua,Liberal Party,Blank,3797
Primary 2025,Comayagua,Liberal Party,Null,1816
Primary 2025,Copan,LIBRE,Valid,31669
Primary 2025,Copan,LIBRE,Blank,4061
Primary 2025,Copan,LIBRE,Null,2914
Primary 2025,Copan,National Party,Valid,41912
Primary 2025,Copan,National Party,Blank,4236
Primary 2025,Copan,National Party,Null,2855
Primary 2025,Copan,Liberal Party,Valid,20068
Primary 2025,Copan,Liberal Party,Blank,2919
Primary 2025,Copan,Liberal Party,Null,1659
Primary 2025,Cortes,LIBRE,Valid,76083
Primary 2025,Cortes,LIBRE,Blank,14835
Primary 2025,Cortes,LIBRE,Null,9458
Primary 2025,Cortes,National Party,Valid,70879
Primary 2025,Cortes,National Party,Blank,3241
Primary 2025,Cortes,National Party,Null,4953
Primary 2025,Cortes,Liberal Party,Valid,161982
Primary 2025,Cortes,Liberal Party,Blank,5077
Primary 2025,Cortes,Liberal Party,Null,4697
Primary 2025,Choluteca,LIBRE,Valid,33599
Primary 2025,Choluteca,LIBRE,Blank,4741
Primary 2025,Choluteca,LIBRE,Null,2153
Primary 2025,Choluteca,National Party,Valid,70468
Primary 2025,Choluteca,National Party,Blank,4855
Primary 2025,Choluteca,National Party,Null,3429
Primary 2025,Choluteca,Liberal Party,Valid,46507
Primary 2025,Choluteca,Liberal Party,Blank,2347
Primary 2025,Choluteca,Liberal Party,Null,1625
Primary 2025,El Paraiso,LIBRE,Valid,40041
Primary 2025,El Paraiso,LIBRE,Blank,4767
Primary 2025,El Paraiso,LIBRE,Null,2497
Primary 2025,El Paraiso,National Party,Valid,60351
Primary 2025,El Paraiso,National Party,Blank,2521
Primary 2025,El Paraiso,National Party,Null,3269
Primary 2025,El Paraiso,Liberal Party,Valid,38896
Primary 2025,El Paraiso,Liberal Party,Blank,2211
Primary 2025,El Paraiso,Liberal Party,Null,1596
Primary 2025,Francisco Morazan,LIBRE,Valid,145952
Primary 2025,Francisco Morazan,LIBRE,Blank,12646
Primary 2025,Francisco Morazan,LIBRE,Null,13055
Primary 2025,Francisco Morazan,National Party,Valid,163999
Primary 2025,Francisco Morazan,National Party,Blank,4018
Primary 2025,Francisco Morazan,National Party,Null,9619
Primary 2025,Francisco Morazan,Liberal Party,Valid,112170
Primary 2025,Francisco Morazan,Liberal Party,Blank,4124
Primary 2025,Francisco Morazan,Liberal Party,Null,3382
Primary 2025,Gracias a Dios,LIBRE,Valid,9123
Primary 2025,Gracias a Dios,LIBRE,Blank,1498
Primary 2025,Gracias a Dios,LIBRE,Null,212
Primary 2025,Gracias a Dios,National Party,Valid,8137
Primary 2025,Gracias a Dios,National Party,Blank,495
Primary 2025,Gracias a Dios,National Party,Null,267
Primary 2025,Gracias a Dios,Liberal Party,Valid,8173
Primary 2025,Gracias a Dios,Liberal Party,Blank,448
Primary 2025,Gracias a Dios,Liberal Party,Null,97
Primary 2025,Intibuca,LIBRE,Valid,20927
Primary 2025,Intibuca,LIBRE,Blank,3578
Primary 2025,Intibuca,LIBRE,Null,1329
Primary 2025,Intibuca,National Party,Valid,34970
Primary 2025,Intibuca,National Party,Blank,2499
Primary 2025,Intibuca,National Party,Null,1785
Primary 2025,Intibuca,Liberal Party,Valid,14756
Primary 2025,Intibuca,Liberal Party,Blank,1623
Primary 2025,Intibuca,Liberal Party,Null,470
Primary 2025,Islas de la Bahia,LIBRE,Valid,2128
Primary 2025,Islas de la Bahia,LIBRE,Blank,416
Primary 2025,Islas de la Bahia,LIBRE,Null,117
Primary 2025,Islas de la Bahia,National Party,Valid,2829
Primary 2025,Islas de la Bahia,National Party,Blank,217
Primary 2025,Islas de la Bahia,National Party,Null,96
Primary 2025,Islas de la Bahia,Liberal Party,Valid,9116
Primary 2025,Islas de la Bahia,Liberal Party,Blank,874
Primary 2025,Islas de la Bahia,Liberal Party,Null,191
Primary 2025,La Paz,LIBRE,Valid,18077
Primary 2025,La Paz,LIBRE,Blank,4032
Primary 2025,La Paz,LIBRE,Null,1462
Primary 2025,La Paz,National Party,Valid,25606
Primary 2025,La Paz,National Party,Blank,1818
Primary 2025,La Paz,National Party,Null,1278
Primary 2025,La Paz,Liberal Party,Valid,18873
Primary 2025,La Paz,Liberal Party,Blank,2200
Primary 2025,La Paz,Liberal Party,Null,662
Primary 2025,Lempira,LIBRE,Valid,39615
Primary 2025,Lempira,LIBRE,Blank,8440
Primary 2025,Lempira,LIBRE,Null,3166
Primary 2025,Lempira,National Party,Valid,53872
Primary 2025,Lempira,National Party,Blank,2894
Primary 2025,Lempira,National Party,Null,2465
Primary 2025,Lempira,Liberal Party,Valid,12315
Primary 2025,Lempira,Liberal Party,Blank,1306
Primary 2025,Lempira,Liberal Party,Null,613
Primary 2025,Ocotepeque,LIBRE,Valid,12699
Primary 2025,Ocotepeque,LIBRE,Blank,1694
Primary 2025,Ocotepeque,LIBRE,Null,921
Primary 2025,Ocotepeque,National Party,Valid,17988
Primary 2025,Ocotepeque,National Party,Blank,1378
Primary 2025,Ocotepeque,National Party,Null,645
Primary 2025,Ocotepeque,Liberal Party,Valid,16929
Primary 2025,Ocotepeque,Liberal Party,Blank,1917
Primary 2025,Ocotepeque,Liberal Party,Null,513
Primary 2025,Olancho,LIBRE,Valid,71737
Primary 2025,Olancho,LIBRE,Blank,10738
Primary 2025,Olancho,LIBRE,Null,4917
Primary 2025,Olancho,National Party,Valid,52993
Primary 2025,Olancho,National Party,Blank,1556
Primary 2025,Olancho,National Party,Null,2410
Primary 2025,Olancho,Liberal Party,Valid,19867
Primary 2025,Olancho,Liberal Party,Blank,1446
Primary 2025,Olancho,Liberal Party,Null,745
Primary 2025,Santa Barbara,LIBRE,Valid,72162
Primary 2025,Santa Barbara,LIBRE,Blank,7482
Primary 2025,Santa Barbara,LIBRE,Null,4035
Primary 2025,Santa Barbara,National Party,Valid,46246
Primary 2025,Santa Barbara,National Party,Blank,2053
Primary 2025,Santa Barbara,National Party,Null,2117
Primary 2025,Santa Barbara,Liberal Party,Valid,15993
Primary 2025,Santa Barbara,Liberal Party,Blank,1210
Primary 2025,Santa Barbara,Liberal Party,Null,651
Primary 2025,Valle,LIBRE,Valid,18689
Primary 2025,Valle,LIBRE,Blank,2835
Primary 2025,Valle,LIBRE,Null,1116
Primary 2025,Valle,National Party,Valid,23071
Primary 2025,Valle,National Party,Blank,1169
Primary 2025,Valle,National Party,Null,849
Primary 2025,Valle,Liberal Party,Valid,24249
Primary 2025,Valle,Liberal Party,Blank,1551
Primary 2025,Valle,Liberal Party,Null,702
Primary 2025,Yoro,LIBRE,Valid,43258
Primary 2025,Yoro,LIBRE,Blank,7387
Primary 2025,Yoro,LIBRE,Null,4091
Primary 2025,Yoro,National Party,Valid,47810
Primary 2025,Yoro,National Party,Blank,2688
Primary 2025,Yoro,National Party,Null,3147
Primary 2025,Yoro,Liberal Party,Valid,40140
Primary 2025,Yoro,Liberal Party,Blank,1927
Primary 2025,Yoro,Liberal Party,Null,1962
